Gene Name	CorValue
tmem176a	1
tmem176b	0.666917979717255
pkm	0.599712133407593
coro1a	0.582593858242035
lyz2	0.564849376678467
lcp1	0.562339425086975
limd2	0.562090396881104
adgrl4	0.540949106216431
ifitm1	0.537748575210571
tmsb4x	0.523156762123108
lsp1	0.518313944339752
laptm5	0.517367303371429
cd34	0.498941332101822
cd27	0.493926763534546
bin2	0.483734220266342
ifi203	0.48040646314621
fkbp1a	0.477525889873505
gpr171	0.468788832426071
ly6a	0.465036958456039
aw112010	0.464907199144363
meis1	0.46010884642601
ctla2a	0.457743734121323
gcnt2	0.456897109746933
tbc1d10c	0.44512876868248
spi1	0.444628119468689
emb	0.444007188081741
zyx	0.442541390657425
hlf	0.440881907939911
gimap6	0.433762103319168
prtn3	0.433696895837784
napsa	0.430284827947617
pglyrp2	0.429557770490646
tmem173	0.426323354244232
adgrg1	0.424021005630493
angpt1	0.423378258943558
serpina3g	0.41861554980278
ifitm3	0.417925208806992
elmo1	0.417689710855484
rbpms	0.416689664125443
mpl	0.412869334220886
cd93	0.412637650966644
myct1	0.410818129777908
arhgdib	0.408614724874496
gimap1	0.40731480717659
ldhb	0.404349327087402
sptbn1	0.401938408613205
gstm1	0.401067614555359
gm8995	0.401056557893753
plcg2	0.400987327098846
tnfaip8	0.398609697818756
gm2a	0.389958083629608
cnn2	0.384772777557373
mfng	0.384079337120056
ebi3	0.383604496717453
myl10	0.383448123931885
itih5	0.381061851978302
ltb	0.380495131015778
cd63-ps	0.37940040230751
tbxas1	0.377742350101471
cd63	0.375727593898773
serpinb1a	0.372470051050186
arhgef6	0.370244681835175
atp2a3	0.368746072053909
mndal	0.368167787790298
il21r	0.365748047828674
unc93b1	0.363834738731384
shisa5	0.362052649259567
anxa5	0.361776530742645
9030619p08rik	0.360142916440964
mef2c	0.360005021095276
tes	0.357458651065826
ptprc	0.355098903179169
fam107b	0.354048013687134
csf3r	0.347507864236832
cd53	0.34618616104126
flt3	0.345661461353302
gng11	0.342841476202011
serpinf1	0.34168404340744
ramp1	0.341212600469589
lppr3	0.340044438838959
rcsd1	0.338367700576782
plcb2	0.337076097726822
ctla2b	0.335581809282303
padi4	0.333689302206039
pcp4l1	0.333243727684021
epsti1	0.331688076257706
rassf2	0.331434160470963
il15	0.327829718589783
gng2	0.327229142189026
laptm4b	0.32508373260498
procr	0.324949532747269
il12a	0.324239045381546
sept6	0.322811931371689
tgtp1	0.322088122367859
zbtb20	0.321568846702576
zfp36	0.320522606372833
runx2	0.319638788700104
fchsd2	0.317765414714813
neurl3	0.317377090454102
cers5	0.316556751728058
afap1l1	0.316550523042679
pear1	0.316407173871994
hoxa9	0.316397666931152
dapp1	0.314187318086624
rgs18	0.311125546693802
rgs19	0.310314267873764
wls	0.307746648788452
tnfrsf13b	0.307613402605057
igfbp4	0.306753605604172
anxa4	0.306654959917068
phactr2	0.306617617607117
cd52	0.306079566478729
mfge8	0.305702030658722
mecom	0.30541142821312
zfp467	0.304369032382965
tspan3	0.304085224866867
lbp	0.302762180566788
pde4b	0.3024842441082
gm4759	0.301073849201202
f11r	0.299528390169144
dusp2	0.298585087060928
rab31	0.298084914684296
gimap5	0.297828197479248
rab38	0.295812875032425
mmrn1	0.295633733272552
esam	0.295513838529587
fam134b	0.292910397052765
parp8	0.291396081447601
lcp2	0.290822058916092
rgs2	0.290541052818298
adssl1	0.290399134159088
vim	0.290096819400787
anxa1	0.289977699518204
hacd4	0.289733737707138
camk2d	0.288835883140564
emcn	0.288812011480331
tspan14	0.288648545742035
shisa8	0.288475215435028
calcrl	0.288404494524002
p2ry14	0.286628872156143
jak3	0.28662633895874
trp53i11	0.286125004291534
irf1	0.285052448511124
tgtp2	0.281634986400604
tnip3	0.281270563602448
tsc22d3	0.280466854572296
tie1	0.27947923541069
appl2	0.279427945613861
pik3ip1	0.27879136800766
gm5111	0.278165638446808
tespa1	0.277349084615707
skap2	0.275912433862686
pstpip1	0.275619149208069
maged2	0.274930894374847
ablim1	0.274436295032501
casp12	0.274113327264786
wfdc17	0.273865759372711
maged1	0.273820400238037
mctp1	0.273715525865555
camk1	0.27266737818718
h2afy	0.27265790104866
mycn	0.272274255752563
fes	0.272118657827377
gimap1os	0.271337985992432
sh2d5	0.269863218069077
ndn	0.268965065479279
uap1l1	0.268235474824905
grn	0.267805069684982
myo1g	0.266480058431625
dennd1c	0.266279131174088
cyth4	0.26546186208725
ctss	0.265013664960861
gramd1a	0.264574587345123
fcer1g	0.264493077993393
sepp1	0.26356428861618
ccl4	0.263533532619476
h2-dma	0.263292640447617
lpp	0.263004243373871
bc035044	0.262733399868011
scarf1	0.26267009973526
h2-dmb1	0.262172490358353
rin3	0.262125968933105
h2-q6	0.261130511760712
nbeal2	0.260266900062561
uba7	0.259552389383316
gm1966	0.258733987808228
vav3	0.257879763841629
arhgap15	0.257621616125107
sla2	0.256618708372116
stap1	0.256297290325165
sell	0.25615069270134
epb4.1l4b	0.25537633895874
malat1	0.254910558462143
st8sia4	0.254529267549515
cyp2j9	0.254329651594162
lax1	0.254293322563171
rgs1	0.254109799861908
satb1	0.253378212451935
ppic	0.253184705972672
acap1	0.252915889024734
nrxn1	0.252676427364349
s100a6	0.252001106739044
ptgs1	0.251748412847519
vldlr	0.250646620988846
ifi44	0.249638631939888
snx10	0.248270511627197
sla	0.247498720884323
snn	0.247404143214226
oasl2	0.246978953480721
notch1	0.246196299791336
paqr7	0.245720759034157
trpc6	0.245263338088989
thsd1	0.244913667440414
ms4a6b	0.244209423661232
rasa4	0.243616864085197
smarca2	0.24360154569149
dok2	0.243540346622467
stat3	0.24340982735157
gpr65	0.242038905620575
myo1f	0.241668567061424
saraf	0.241646140813828
fgd2	0.24047876894474
ighm	0.239757105708122
ypel3	0.239404886960983
lrrfip1	0.239021211862564
pecam1	0.238982781767845
abcg3	0.238595828413963
rnf122	0.238060399889946
slc2a1	0.236657902598381
obsl1	0.236547231674194
rhof	0.236375197768211
myadm	0.236119315028191
gbp2	0.235992759466171
sh2d3c	0.235889121890068
coro7	0.235118165612221
dock2	0.234894245862961
ptpn22	0.234775245189667
b4galt4	0.234594330191612
map4k2	0.234593749046326
rassf5	0.234019353985786
cyp2j6	0.233586385846138
socs2	0.233335554599762
2610307p16rik	0.23331443965435
rasal3	0.233128949999809
cd79b	0.232612580060959
casp1	0.232427909970284
hcls1	0.231873869895935
spns2	0.230854377150536
arhgap25	0.230484336614609
tfec	0.230397328734398
irgm2	0.229588001966476
fam65b	0.229487419128418
asah1	0.228044584393501
ptpre	0.227041870355606
dennd2d	0.226962074637413
cnrip1	0.226210579276085
eya2	0.226190969347954
adamts10	0.22582283616066
plek	0.22491829097271
psap	0.224846318364143
ikzf2	0.224535211920738
hk3	0.222754657268524
arhgef3	0.222534403204918
cd74	0.222516104578972
col4a1	0.222458466887474
slc44a2	0.221921682357788
clcf1	0.221867144107819
il4ra	0.221440985798836
hid1	0.221273586153984
stxbp4	0.221195101737976
fstl1	0.219934150576591
ppm1h	0.219879910349846
sash3	0.219682902097702
bcl2	0.219661101698875
vipr2	0.21953609585762
krt18	0.219445317983627
gimap8	0.219392895698547
alcam	0.218427792191505
plxdc2	0.218421787023544
abr	0.218355879187584
cd9	0.218013823032379
iigp1	0.217969998717308
b2m	0.217778488993645
itm2a	0.216817125678062
emilin1	0.216529995203018
gm12216	0.215574592351913
anxa6	0.215217068791389
pygm	0.215041190385818
sirpa	0.215019941329956
pbx1	0.21472293138504
sesn1	0.214639961719513
ccl3	0.214637935161591
tyrobp	0.214485377073288
tox	0.214193522930145
gm4951	0.213999480009079
rasa3	0.21391287446022
gbp3	0.21341709792614
chrnb1	0.213314786553383
tnfsf14	0.21328803896904
mir99ahg	0.213284611701965
tcn2	0.213220819830894
mpnd	0.212737157940865
jun	0.212735250592232
dntt	0.211618438363075
nek6	0.211610555648804
fcgrt	0.211329743266106
crlf3	0.211274534463882
paqr5	0.209733217954636
cand2	0.209517166018486
anxa2	0.209185436367989
treml2	0.209068909287453
dusp5	0.20899011194706
adgrg3	0.20874959230423
klf6	0.208701908588409
nfam1	0.207832455635071
gm28875	0.207475408911705
eya1	0.207471668720245
slc43a2	0.207127720117569
cd200r1	0.205861121416092
galnt11	0.205444127321243
rnf13	0.205355808138847
gucy1a3	0.205234333872795
efcc1	0.204834908246994
slc27a1	0.204739138484001
cdkn1c	0.204393789172173
plekha2	0.204331740736961
esr1	0.204207330942154
cdk18	0.204170614480972
lck	0.20414662361145
gsap	0.204041495919228
rtp4	0.204016953706741
ptp4a3	0.203984245657921
f2rl3	0.203587979078293
vill	0.203495517373085
mdfic	0.202529639005661
als2cl	0.202409461140633
plin3	0.202335357666016
gprasp2	0.202082440257072
xpc	0.201063185930252
sdc4	0.199993595480919
rab32	0.199520409107208
plec	0.199091047048569
nfat5	0.198712930083275
cers4	0.198690325021744
cish	0.198307171463966
col4a2	0.197975665330887
ddx58	0.197909459471703
arhgap27	0.197856873273849
cobll1	0.197600573301315
icam1	0.197560340166092
cyp4v3	0.197504624724388
tor3a	0.197221368551254
