colID,logFC,fracExprIN,fracExprOUT,rank.sum,p.value,cluster,gene
628,1062,4.60577694331848,1,1,92273,2.41621461152498e-77,1,Tmsb4x
1876,3165,7.50334044769556,1,0.990049751243781,92177,8.13455857043142e-77,1,Ifitm1
2214,3745,6.44361218158945,1,0.995024875621891,91982,9.4528328587192e-76,1,Coro1a
2671,4572,5.55465720426619,1,0.990049751243781,91976,1.01909275623567e-75,1,Tmem176b
2488,4240,5.87130348797142,1,0.970149253731343,91577,1.457423276812e-73,1,Limd2
1192,2063,5.91369663179593,1,0.975124378109453,91523,2.83747052618868e-73,1,Pkm
638,1079,3.70127346760577,1,1,91498,3.86138482469744e-73,1,Laptm5
1731,2931,6.14772668475752,0.996336996336996,0.81592039800995,91346.5,2.28132804085956e-72,1,Hlf
478,794,5.69845104838703,1,1,91311,3.82914282208151e-72,1,Meis1
1801,3050,5.85296689576814,1,0.850746268656716,91249,7.83766631457533e-72,1,Ly6a
2540,4340,5.77657055378789,0.996336996336996,0.970149253731343,91003,1.6171510700188e-70,1,Angpt1
2719,4669,7.33169744328875,1,0.930348258706468,90982,2.07670995567886e-70,1,Lsp1
1577,2706,4.85679430769598,1,0.995024875621891,90961,2.68665008025052e-70,1,Lcp1
1711,2897,4.79198555285984,1,0.930348258706468,90950,3.05550464588172e-70,1,Gimap6
997,1706,6.71371263478039,0.996336996336996,0.925373134328358,90686.5,7.20172505877818e-69,1,Ctla2a
775,1319,1.83282534755376,1,1,90397,2.25273908664232e-67,1,Malat1
560,955,5.64110352464602,0.992673992673993,0.930348258706468,90379,2.76989450694875e-67,1,Gcnt2
371,621,4.42800077512988,1,0.945273631840796,90328,5.07239220157491e-67,1,Zyx
1060,1843,8.27012254369989,0.967032967032967,0.592039800995025,90174,1.07729348350389e-66,1,Ltb
844,1436,6.70759473812335,0.992673992673993,0.945273631840796,90191,2.53154250187535e-66,1,Lyz2
2517,4299,3.17474699351716,1,0.995024875621891,90064,1.11957848626059e-65,1,Shisa5
446,747,7.56035009876689,0.992673992673993,0.880597014925373,90011,2.0254779871627e-65,1,Mpl
1266,2186,5.10905595123002,0.996336996336996,0.935323383084577,89755.5,3.97444569016635e-64,1,Ifi203
1507,2583,7.08532759720653,0.996336996336996,0.90547263681592,89725.5,5.57328525666755e-64,1,Adgrl4
2622,4488,2.90451010289359,1,1,89701,7.46532135609888e-64,1,Arhgdib
486,812,7.36964728740928,0.981684981684982,0.830845771144279,89320,5.31807325431526e-62,1,Gpr171
415,690,5.91650996084476,0.989010989010989,0.890547263681592,89287,8.17468641814283e-62,1,Tmem176a
778,1322,3.02268149808739,1,1,88995,2.21488856637026e-60,1,Adgrg1
103,172,4.84619055539898,1,0.940298507462687,88876,8.31596844208892e-60,1,Pik3ip1
2557,4377,5.53382262844166,0.989010989010989,0.890547263681592,88710,5.13509198617767e-59,1,Tbc1d10c
2710,4655,7.44477114622382,0.934065934065934,0.606965174129353,88579,7.17756843246592e-59,1,Myct1
33,57,4.94450144153721,0.989010989010989,0.940298507462687,88654,9.66326636519268e-59,1,Gm2a
105,177,2.76026313605687,0.996336996336996,1,88614,1.50647260763675e-58,1,Txnip
1695,2868,6.56624907919374,0.956043956043956,0.741293532338308,88526,2.87215196434124e-58,1,Gimap1
76,126,5.50891336138725,0.989010989010989,0.940298507462687,88211,1.21113515643862e-56,1,Spi1
1161,2014,5.62562020071551,0.974358974358974,0.845771144278607,88161.5,1.94443930303855e-56,1,Mecom
